pair,direction,metal,donor,edge_count,complex_count
ILP / Hückel(DFT),missing_from_ILP,Zr,N,31,26
ILP / Hückel(DFT),missing_from_ILP,Au,C,30,24
ILP / Hückel(DFT),missing_from_ILP,Pt,P,28,25
ILP / Hückel(DFT),missing_from_ILP,Zr,O,28,22
ILP / Hückel(DFT),missing_from_ILP,Ag,S,27,23
ILP / Hückel(DFT),missing_from_ILP,Co,C,26,23
ILP / Hückel(DFT),missing_from_ILP,Hf,C,25,17
ILP / Hückel(DFT),missing_from_ILP,Cu,N,24,20
ILP / Hückel(DFT),missing_from_ILP,La,O,23,14
ILP / Hückel(DFT),missing_from_ILP,Cu,O,21,20
ILP / Hückel(DFT),missing_from_ILP,Os,C,21,15
ILP / Hückel(DFT),missing_from_ILP,V,O,21,21
ILP / Hückel(DFT),missing_from_ILP,W,O,21,18
ILP / Hückel(DFT),missing_from_ILP,Rh,N,19,18
ILP / Hückel(DFT),missing_from_ILP,Ru,O,19,19
ILP / Hückel(DFT),missing_from_ILP,Hg,N,18,13
ILP / Hückel(DFT),missing_from_ILP,Os,N,18,14
ILP / Hückel(DFT),missing_from_ILP,V,C,17,13
ILP / Hückel(DFT),missing_from_ILP,Au,S,16,12
ILP / Hückel(DFT),missing_from_ILP,Cu,P,16,11
ILP / Hückel(DFT),missing_from_ILP,Pt,Cl,16,16
ILP / Hückel(DFT),missing_from_ILP,Mo,S,15,10
ILP / Hückel(DFT),missing_from_ILP,Mo,P,14,14
ILP / Hückel(DFT),missing_from_ILP,Ta,N,14,13
ILP / Hückel(DFT),missing_from_ILP,Hf,N,13,8
ILP / Hückel(DFT),missing_from_ILP,Ta,C,13,13
ILP / Hückel(DFT),missing_from_ILP,Sc,N,12,8
ILP / Hückel(DFT),missing_from_ILP,Hg,C,11,8
ILP / Hückel(DFT),missing_from_ILP,Re,Cl,11,11
ILP / Hückel(DFT),missing_from_ILP,Sc,C,11,7
ILP / Hückel(DFT),missing_from_ILP,Ta,O,11,11
ILP / Hückel(DFT),missing_from_ILP,Tc,N,11,9
ILP / Hückel(DFT),missing_from_ILP,Ir,O,10,10
ILP / Hückel(DFT),missing_from_ILP,Re,P,10,8
ILP / Hückel(DFT),missing_from_ILP,Rh,P,9,9
ILP / Hückel(DFT),missing_from_ILP,W,S,9,6
ILP / Hückel(DFT),missing_from_ILP,Co,N,8,8
ILP / Hückel(DFT),missing_from_ILP,Cu,S,8,8
ILP / Hückel(DFT),missing_from_ILP,Mn,Si,8,8
ILP / Hückel(DFT),missing_from_ILP,Re,Se,8,5
ILP / Hückel(DFT),missing_from_ILP,Zr,B,8,6
ILP / Hückel(DFT),missing_from_ILP,Zr,P,8,5
ILP / Hückel(DFT),missing_from_ILP,Au,P,7,7
ILP / Hückel(DFT),missing_from_ILP,Rh,S,7,6
ILP / Hückel(DFT),missing_from_ILP,Co,O,6,6
ILP / Hückel(DFT),missing_from_ILP,Fe,Si,6,5
ILP / Hückel(DFT),missing_from_ILP,Ru,P,6,6
ILP / Hückel(DFT),missing_from_ILP,Zn,S,6,6
ILP / Hückel(DFT),missing_from_ILP,Au,Cl,5,3
ILP / Hückel(DFT),missing_from_ILP,Au,O,5,5
ILP / Hückel(DFT),missing_from_ILP,Cd,P,5,3
ILP / Hückel(DFT),missing_from_ILP,Cd,S,5,3
ILP / Hückel(DFT),missing_from_ILP,Cr,O,5,5
ILP / Hückel(DFT),missing_from_ILP,Nb,N,5,5
ILP / Hückel(DFT),missing_from_ILP,Nb,S,5,4
ILP / Hückel(DFT),missing_from_ILP,Pt,I,5,5
ILP / Hückel(DFT),missing_from_ILP,Y,O,5,5
ILP / Hückel(DFT),missing_from_ILP,Cr,N,4,4
ILP / Hückel(DFT),missing_from_ILP,Fe,O,4,4
ILP / Hückel(DFT),missing_from_ILP,Mn,Se,4,2
ILP / Hückel(DFT),missing_from_ILP,Ni,Br,4,3
ILP / Hückel(DFT),missing_from_ILP,Re,Br,4,4
ILP / Hückel(DFT),missing_from_ILP,Rh,O,4,4
ILP / Hückel(DFT),missing_from_ILP,Ru,S,4,4
ILP / Hückel(DFT),missing_from_ILP,W,P,4,4
ILP / Hückel(DFT),missing_from_ILP,Zr,F,4,3
ILP / Hückel(DFT),missing_from_ILP,Cr,Si,3,3
ILP / Hückel(DFT),missing_from_ILP,Hf,O,3,2
ILP / Hückel(DFT),missing_from_ILP,Hg,O,3,2
ILP / Hückel(DFT),missing_from_ILP,Ir,Cl,3,3
ILP / Hückel(DFT),missing_from_ILP,Mo,Si,3,3
ILP / Hückel(DFT),missing_from_ILP,Os,O,3,3
ILP / Hückel(DFT),missing_from_ILP,Ru,Si,3,3
ILP / Hückel(DFT),missing_from_ILP,Sc,B,3,2
ILP / Hückel(DFT),missing_from_ILP,Sc,O,3,2
ILP / Hückel(DFT),missing_from_ILP,Ta,S,3,3
ILP / Hückel(DFT),missing_from_ILP,Tc,O,3,3
ILP / Hückel(DFT),missing_from_ILP,Tc,S,3,3
ILP / Hückel(DFT),missing_from_ILP,W,Si,3,3
ILP / Hückel(DFT),missing_from_ILP,Zn,Cl,3,2
ILP / Hückel(DFT),missing_from_ILP,Fe,P,2,1
ILP / Hückel(DFT),missing_from_ILP,Hf,P,2,1
ILP / Hückel(DFT),missing_from_ILP,Hf,Se,2,1
ILP / Hückel(DFT),missing_from_ILP,Ir,I,2,2
ILP / Hückel(DFT),missing_from_ILP,La,C,2,2
ILP / Hückel(DFT),missing_from_ILP,La,Cl,2,2
ILP / Hückel(DFT),missing_from_ILP,La,Se,2,1
ILP / Hückel(DFT),missing_from_ILP,Mn,O,2,2
ILP / Hückel(DFT),missing_from_ILP,Mo,Cl,2,2
ILP / Hückel(DFT),missing_from_ILP,Nb,O,2,2
ILP / Hückel(DFT),missing_from_ILP,Os,S,2,2
ILP / Hückel(DFT),missing_from_ILP,Os,Si,2,1
ILP / Hückel(DFT),missing_from_ILP,Pd,Cl,2,2
ILP / Hückel(DFT),missing_from_ILP,Ru,Cl,2,2
ILP / Hückel(DFT),missing_from_ILP,Ta,P,2,2
ILP / Hückel(DFT),missing_from_ILP,Ti,Cl,2,2
ILP / Hückel(DFT),missing_from_ILP,Ti,Si,2,2
ILP / Hückel(DFT),missing_from_ILP,Zn,Si,2,2
ILP / Hückel(DFT),missing_from_ILP,Zr,As,2,1
ILP / Hückel(DFT),missing_from_ILP,Ag,Cl,1,1
ILP / Hückel(DFT),missing_from_ILP,Ag,P,1,1
ILP / Hückel(DFT),missing_from_ILP,Au,As,1,1
ILP / Hückel(DFT),missing_from_ILP,Cd,Cl,1,1
ILP / Hückel(DFT),missing_from_ILP,Cd,I,1,1
ILP / Hückel(DFT),missing_from_ILP,Co,S,1,1
ILP / Hückel(DFT),missing_from_ILP,Cr,S,1,1
ILP / Hückel(DFT),missing_from_ILP,Cu,Br,1,1
ILP / Hückel(DFT),missing_from_ILP,Fe,N,1,1
ILP / Hückel(DFT),missing_from_ILP,Hf,B,1,1
ILP / Hückel(DFT),missing_from_ILP,Hf,Cl,1,1
ILP / Hückel(DFT),missing_from_ILP,Ir,As,1,1
ILP / Hückel(DFT),missing_from_ILP,Ir,Br,1,1
ILP / Hückel(DFT),missing_from_ILP,Ir,P,1,1
ILP / Hückel(DFT),missing_from_ILP,Ir,S,1,1
ILP / Hückel(DFT),missing_from_ILP,Mn,P,1,1
ILP / Hückel(DFT),missing_from_ILP,Nb,Cl,1,1
ILP / Hückel(DFT),missing_from_ILP,Ni,Se,1,1
ILP / Hückel(DFT),missing_from_ILP,Ni,Si,1,1
ILP / Hückel(DFT),missing_from_ILP,Os,As,1,1
ILP / Hückel(DFT),missing_from_ILP,Os,Cl,1,1
ILP / Hückel(DFT),missing_from_ILP,Os,P,1,1
ILP / Hückel(DFT),missing_from_ILP,Pd,Br,1,1
ILP / Hückel(DFT),missing_from_ILP,Pd,I,1,1
ILP / Hückel(DFT),missing_from_ILP,Pt,Br,1,1
ILP / Hückel(DFT),missing_from_ILP,Pt,Si,1,1
ILP / Hückel(DFT),missing_from_ILP,Re,Si,1,1
ILP / Hückel(DFT),missing_from_ILP,Rh,Si,1,1
ILP / Hückel(DFT),missing_from_ILP,Ru,I,1,1
ILP / Hückel(DFT),missing_from_ILP,Ta,Se,1,1
ILP / Hückel(DFT),missing_from_ILP,Ti,As,1,1
ILP / Hückel(DFT),missing_from_ILP,Ti,P,1,1
ILP / Hückel(DFT),missing_from_ILP,V,S,1,1
ILP / Hückel(DFT),missing_from_ILP,W,Br,1,1
ILP / Hückel(DFT),missing_from_ILP,W,Cl,1,1
ILP / Hückel(DFT),missing_from_ILP,W,I,1,1
ILP / Hückel(DFT),missing_from_ILP,Y,C,1,1
ILP / Hückel(DFT),missing_from_ILP,Y,Cl,1,1
ILP / Hückel(DFT),missing_from_ILP,Y,P,1,1
ILP / Hückel(DFT),missing_from_ILP,Zr,Cl,1,1
ILP / NBO(DFT),extra_in_ILP,Zn,C,327,206
ILP / NBO(DFT),extra_in_ILP,Zn,O,270,195
ILP / NBO(DFT),extra_in_ILP,Ni,N,215,157
ILP / NBO(DFT),extra_in_ILP,Cd,O,198,127
ILP / NBO(DFT),extra_in_ILP,Zn,N,166,137
ILP / NBO(DFT),extra_in_ILP,Cd,N,146,109
ILP / NBO(DFT),extra_in_ILP,Hg,O,143,86
ILP / NBO(DFT),extra_in_ILP,Cu,N,141,120
ILP / NBO(DFT),extra_in_ILP,Hg,N,131,104
ILP / NBO(DFT),extra_in_ILP,Ag,O,118,92
ILP / NBO(DFT),extra_in_ILP,Ag,N,93,64
ILP / NBO(DFT),extra_in_ILP,Y,C,92,44
ILP / NBO(DFT),extra_in_ILP,Cu,O,84,64
ILP / NBO(DFT),extra_in_ILP,Cd,C,83,55
ILP / NBO(DFT),extra_in_ILP,Ti,C,82,58
ILP / NBO(DFT),extra_in_ILP,Cu,C,64,52
ILP / NBO(DFT),extra_in_ILP,Hg,S,62,53
ILP / NBO(DFT),extra_in_ILP,Cd,S,57,37
ILP / NBO(DFT),extra_in_ILP,Zr,C,51,37
ILP / NBO(DFT),extra_in_ILP,Ni,C,42,38
ILP / NBO(DFT),extra_in_ILP,Ag,C,38,34
ILP / NBO(DFT),extra_in_ILP,La,C,34,6
ILP / NBO(DFT),extra_in_ILP,La,N,34,15
ILP / NBO(DFT),extra_in_ILP,Zr,P,34,28
ILP / NBO(DFT),extra_in_ILP,Ag,S,32,19
ILP / NBO(DFT),extra_in_ILP,Hg,C,25,16
ILP / NBO(DFT),extra_in_ILP,Cu,H,21,17
ILP / NBO(DFT),extra_in_ILP,Hf,C,17,10
ILP / NBO(DFT),extra_in_ILP,Ni,H,17,15
ILP / NBO(DFT),extra_in_ILP,Zr,S,17,10
ILP / NBO(DFT),extra_in_ILP,La,O,13,7
ILP / NBO(DFT),extra_in_ILP,Ti,S,12,11
ILP / NBO(DFT),extra_in_ILP,Y,S,12,9
ILP / NBO(DFT),extra_in_ILP,Hf,S,10,5
ILP / NBO(DFT),extra_in_ILP,Zn,S,10,8
ILP / NBO(DFT),extra_in_ILP,Fe,H,9,7
ILP / NBO(DFT),extra_in_ILP,Zn,H,9,6
ILP / NBO(DFT),extra_in_ILP,Ni,O,8,7
ILP / NBO(DFT),extra_in_ILP,Ti,P,7,7
ILP / NBO(DFT),extra_in_ILP,Ag,H,5,5
ILP / NBO(DFT),extra_in_ILP,Ag,Se,5,2
ILP / NBO(DFT),extra_in_ILP,Hg,Se,5,4
ILP / NBO(DFT),extra_in_ILP,Rh,H,5,5
ILP / NBO(DFT),extra_in_ILP,Zn,P,5,5
ILP / NBO(DFT),extra_in_ILP,Cu,B,4,4
ILP / NBO(DFT),extra_in_ILP,Mo,S,4,4
ILP / NBO(DFT),extra_in_ILP,Zr,B,4,4
ILP / NBO(DFT),extra_in_ILP,Fe,S,3,3
ILP / NBO(DFT),extra_in_ILP,Hg,P,3,3
ILP / NBO(DFT),extra_in_ILP,Ni,S,3,3
ILP / NBO(DFT),extra_in_ILP,Ta,C,3,3
ILP / NBO(DFT),extra_in_ILP,Ta,P,3,3
ILP / NBO(DFT),extra_in_ILP,Ti,B,3,3
ILP / NBO(DFT),extra_in_ILP,Hf,P,2,2
ILP / NBO(DFT),extra_in_ILP,Hg,H,2,2
ILP / NBO(DFT),extra_in_ILP,La,S,2,1
ILP / NBO(DFT),extra_in_ILP,Mo,As,2,1
ILP / NBO(DFT),extra_in_ILP,Pd,C,2,2
ILP / NBO(DFT),extra_in_ILP,Pd,H,2,2
ILP / NBO(DFT),extra_in_ILP,Pt,H,2,2
ILP / NBO(DFT),extra_in_ILP,Ru,H,2,1
ILP / NBO(DFT),extra_in_ILP,Ta,S,2,2
ILP / NBO(DFT),extra_in_ILP,Ti,As,2,1
ILP / NBO(DFT),extra_in_ILP,Ti,Se,2,2
ILP / NBO(DFT),extra_in_ILP,Y,H,2,2
ILP / NBO(DFT),extra_in_ILP,Y,Se,2,1
ILP / NBO(DFT),extra_in_ILP,Zr,Se,2,2
ILP / NBO(DFT),extra_in_ILP,Ag,Br,1,1
ILP / NBO(DFT),extra_in_ILP,Cd,Se,1,1
ILP / NBO(DFT),extra_in_ILP,Cr,H,1,1
ILP / NBO(DFT),extra_in_ILP,Cu,S,1,1
ILP / NBO(DFT),extra_in_ILP,Fe,C,1,1
ILP / NBO(DFT),extra_in_ILP,Hg,Cl,1,1
ILP / NBO(DFT),extra_in_ILP,Nb,C,1,1
ILP / NBO(DFT),extra_in_ILP,Nb,P,1,1
ILP / NBO(DFT),extra_in_ILP,Nb,S,1,1
ILP / NBO(DFT),extra_in_ILP,Pd,F,1,1
ILP / NBO(DFT),extra_in_ILP,Sc,C,1,1
ILP / NBO(DFT),extra_in_ILP,Sc,P,1,1
ILP / NBO(DFT),extra_in_ILP,Sc,S,1,1
ILP / NBO(DFT),extra_in_ILP,W,Se,1,1
ILP / NBO(DFT),extra_in_ILP,Y,P,1,1
ILP / NBO(DFT),extra_in_ILP,Zn,B,1,1
ILP / NBO(DFT),extra_in_ILP,Zn,F,1,1
ILP / NBO(DFT),extra_in_ILP,Zn,Se,1,1
ILP / NBO(DFT),missing_from_ILP,Fe,C,355,220
ILP / NBO(DFT),missing_from_ILP,Co,O,229,102
ILP / NBO(DFT),missing_from_ILP,Mo,O,207,202
ILP / NBO(DFT),missing_from_ILP,Ni,C,183,141
ILP / NBO(DFT),missing_from_ILP,Ti,C,137,102
ILP / NBO(DFT),missing_from_ILP,Zr,C,136,103
ILP / NBO(DFT),missing_from_ILP,Re,N,121,104
ILP / NBO(DFT),missing_from_ILP,W,C,115,68
ILP / NBO(DFT),missing_from_ILP,Pd,N,110,92
ILP / NBO(DFT),missing_from_ILP,Pt,C,102,67
ILP / NBO(DFT),missing_from_ILP,Pt,N,92,75
ILP / NBO(DFT),missing_from_ILP,Pd,C,77,58
ILP / NBO(DFT),missing_from_ILP,V,O,73,72
ILP / NBO(DFT),missing_from_ILP,V,N,68,67
ILP / NBO(DFT),missing_from_ILP,Ir,C,64,39
ILP / NBO(DFT),missing_from_ILP,Re,C,58,35
ILP / NBO(DFT),missing_from_ILP,Ti,N,58,48
ILP / NBO(DFT),missing_from_ILP,Re,O,56,56
ILP / NBO(DFT),missing_from_ILP,Co,C,55,33
ILP / NBO(DFT),missing_from_ILP,Ru,C,53,44
ILP / NBO(DFT),missing_from_ILP,Ni,O,50,33
ILP / NBO(DFT),missing_from_ILP,Rh,C,50,36
ILP / NBO(DFT),missing_from_ILP,Cr,C,49,37
ILP / NBO(DFT),missing_from_ILP,Cu,C,48,41
ILP / NBO(DFT),missing_from_ILP,Mo,N,46,36
ILP / NBO(DFT),missing_from_ILP,Nb,C,42,39
ILP / NBO(DFT),missing_from_ILP,Mo,C,40,27
ILP / NBO(DFT),missing_from_ILP,W,N,39,34
ILP / NBO(DFT),missing_from_ILP,Ta,C,38,25
ILP / NBO(DFT),missing_from_ILP,Co,N,36,23
ILP / NBO(DFT),missing_from_ILP,Pt,O,34,23
ILP / NBO(DFT),missing_from_ILP,Mn,C,33,24
ILP / NBO(DFT),missing_from_ILP,Ni,N,32,24
ILP / NBO(DFT),missing_from_ILP,Au,C,31,23
ILP / NBO(DFT),missing_from_ILP,Ru,N,30,26
ILP / NBO(DFT),missing_from_ILP,Re,S,29,22
ILP / NBO(DFT),missing_from_ILP,Ti,O,29,25
ILP / NBO(DFT),missing_from_ILP,Hf,C,28,20
ILP / NBO(DFT),missing_from_ILP,Zr,N,25,23
ILP / NBO(DFT),missing_from_ILP,Zn,N,21,15
ILP / NBO(DFT),missing_from_ILP,Fe,N,20,14
ILP / NBO(DFT),missing_from_ILP,Pt,S,19,16
ILP / NBO(DFT),missing_from_ILP,Ta,N,19,18
ILP / NBO(DFT),missing_from_ILP,Ni,P,18,11
ILP / NBO(DFT),missing_from_ILP,Os,N,18,13
ILP / NBO(DFT),missing_from_ILP,Pd,O,18,17
ILP / NBO(DFT),missing_from_ILP,Sc,C,18,11
ILP / NBO(DFT),missing_from_ILP,Zn,C,17,11
ILP / NBO(DFT),missing_from_ILP,W,O,16,13
ILP / NBO(DFT),missing_from_ILP,Pt,Cl,15,15
ILP / NBO(DFT),missing_from_ILP,V,C,15,9
ILP / NBO(DFT),missing_from_ILP,Ru,O,13,13
ILP / NBO(DFT),missing_from_ILP,Hf,N,12,8
ILP / NBO(DFT),missing_from_ILP,Ni,S,12,11
ILP / NBO(DFT),missing_from_ILP,Os,C,12,10
ILP / NBO(DFT),missing_from_ILP,Rh,N,12,10
ILP / NBO(DFT),missing_from_ILP,Tc,N,11,9
ILP / NBO(DFT),missing_from_ILP,Zr,H,11,10
ILP / NBO(DFT),missing_from_ILP,Hg,C,10,7
ILP / NBO(DFT),missing_from_ILP,Ta,O,10,10
ILP / NBO(DFT),missing_from_ILP,Zr,O,10,7
ILP / NBO(DFT),missing_from_ILP,Pt,P,9,9
ILP / NBO(DFT),missing_from_ILP,Re,Cl,9,9
ILP / NBO(DFT),missing_from_ILP,Ag,C,8,7
ILP / NBO(DFT),missing_from_ILP,Re,Se,8,5
ILP / NBO(DFT),missing_from_ILP,Pd,S,7,6
ILP / NBO(DFT),missing_from_ILP,Pt,H,7,7
ILP / NBO(DFT),missing_from_ILP,Sc,H,7,2
ILP / NBO(DFT),missing_from_ILP,Y,H,7,3
ILP / NBO(DFT),missing_from_ILP,Ru,B,6,6
ILP / NBO(DFT),missing_from_ILP,Sc,N,6,6
ILP / NBO(DFT),missing_from_ILP,Ta,H,6,6
ILP / NBO(DFT),missing_from_ILP,Ti,H,6,6
ILP / NBO(DFT),missing_from_ILP,Fe,O,5,5
ILP / NBO(DFT),missing_from_ILP,Mn,Se,5,3
ILP / NBO(DFT),missing_from_ILP,Nb,N,5,5
ILP / NBO(DFT),missing_from_ILP,Os,O,5,5
ILP / NBO(DFT),missing_from_ILP,Pt,Se,5,2
ILP / NBO(DFT),missing_from_ILP,Re,P,5,3
ILP / NBO(DFT),missing_from_ILP,Rh,O,5,5
ILP / NBO(DFT),missing_from_ILP,Ru,P,5,5
ILP / NBO(DFT),missing_from_ILP,Sc,B,5,3
ILP / NBO(DFT),missing_from_ILP,Cr,N,4,4
ILP / NBO(DFT),missing_from_ILP,Cu,N,4,4
ILP / NBO(DFT),missing_from_ILP,Ir,N,4,4
ILP / NBO(DFT),missing_from_ILP,Ni,H,4,4
ILP / NBO(DFT),missing_from_ILP,Tc,O,4,4
ILP / NBO(DFT),missing_from_ILP,Ti,Si,4,4
ILP / NBO(DFT),missing_from_ILP,Y,C,4,4
ILP / NBO(DFT),missing_from_ILP,Y,O,4,4
ILP / NBO(DFT),missing_from_ILP,Zn,Cl,4,3
ILP / NBO(DFT),missing_from_ILP,Cd,C,3,2
ILP / NBO(DFT),missing_from_ILP,Cu,P,3,3
ILP / NBO(DFT),missing_from_ILP,Cu,Si,3,2
ILP / NBO(DFT),missing_from_ILP,Hf,O,3,2
ILP / NBO(DFT),missing_from_ILP,Ir,O,3,3
ILP / NBO(DFT),missing_from_ILP,Nb,H,3,3
ILP / NBO(DFT),missing_from_ILP,Ni,Si,3,3
ILP / NBO(DFT),missing_from_ILP,Os,H,3,2
ILP / NBO(DFT),missing_from_ILP,Pd,P,3,3
ILP / NBO(DFT),missing_from_ILP,Ru,Cl,3,3
ILP / NBO(DFT),missing_from_ILP,Sc,O,3,2
ILP / NBO(DFT),missing_from_ILP,Zn,O,3,3
ILP / NBO(DFT),missing_from_ILP,Au,H,2,2
ILP / NBO(DFT),missing_from_ILP,Au,P,2,2
ILP / NBO(DFT),missing_from_ILP,Co,B,2,2
ILP / NBO(DFT),missing_from_ILP,Cr,B,2,2
ILP / NBO(DFT),missing_from_ILP,Cr,H,2,2
ILP / NBO(DFT),missing_from_ILP,Fe,Si,2,2
ILP / NBO(DFT),missing_from_ILP,Ir,Cl,2,2
ILP / NBO(DFT),missing_from_ILP,Ir,Si,2,1
ILP / NBO(DFT),missing_from_ILP,Mn,B,2,2
ILP / NBO(DFT),missing_from_ILP,Mn,N,2,1
ILP / NBO(DFT),missing_from_ILP,Mn,Si,2,2
ILP / NBO(DFT),missing_from_ILP,Mo,H,2,1
ILP / NBO(DFT),missing_from_ILP,Mo,Si,2,2
ILP / NBO(DFT),missing_from_ILP,Os,Si,2,1
ILP / NBO(DFT),missing_from_ILP,Pd,Cl,2,2
ILP / NBO(DFT),missing_from_ILP,Pd,H,2,2
ILP / NBO(DFT),missing_from_ILP,Re,Br,2,2
ILP / NBO(DFT),missing_from_ILP,Rh,Cl,2,1
ILP / NBO(DFT),missing_from_ILP,Rh,H,2,1
ILP / NBO(DFT),missing_from_ILP,Rh,S,2,2
ILP / NBO(DFT),missing_from_ILP,Ru,H,2,1
ILP / NBO(DFT),missing_from_ILP,Ti,Cl,2,2
ILP / NBO(DFT),missing_from_ILP,W,H,2,2
ILP / NBO(DFT),missing_from_ILP,Zr,F,2,2
ILP / NBO(DFT),missing_from_ILP,Cd,P,1,1
ILP / NBO(DFT),missing_from_ILP,Co,As,1,1
ILP / NBO(DFT),missing_from_ILP,Co,S,1,1
ILP / NBO(DFT),missing_from_ILP,Cu,S,1,1
ILP / NBO(DFT),missing_from_ILP,Fe,B,1,1
ILP / NBO(DFT),missing_from_ILP,Fe,H,1,1
ILP / NBO(DFT),missing_from_ILP,Hf,F,1,1
ILP / NBO(DFT),missing_from_ILP,Hf,H,1,1
ILP / NBO(DFT),missing_from_ILP,Ir,Br,1,1
ILP / NBO(DFT),missing_from_ILP,Ir,H,1,1
ILP / NBO(DFT),missing_from_ILP,Ir,P,1,1
ILP / NBO(DFT),missing_from_ILP,Mn,O,1,1
ILP / NBO(DFT),missing_from_ILP,Mn,P,1,1
ILP / NBO(DFT),missing_from_ILP,Mn,S,1,1
ILP / NBO(DFT),missing_from_ILP,Mo,Cl,1,1
ILP / NBO(DFT),missing_from_ILP,Os,Cl,1,1
ILP / NBO(DFT),missing_from_ILP,Pd,Se,1,1
ILP / NBO(DFT),missing_from_ILP,Pt,B,1,1
ILP / NBO(DFT),missing_from_ILP,Pt,Br,1,1
ILP / NBO(DFT),missing_from_ILP,Re,B,1,1
ILP / NBO(DFT),missing_from_ILP,Re,Si,1,1
ILP / NBO(DFT),missing_from_ILP,Rh,B,1,1
ILP / NBO(DFT),missing_from_ILP,Rh,P,1,1
ILP / NBO(DFT),missing_from_ILP,Ru,Si,1,1
ILP / NBO(DFT),missing_from_ILP,Ti,F,1,1
ILP / NBO(DFT),missing_from_ILP,V,H,1,1
ILP / NBO(DFT),missing_from_ILP,W,Cl,1,1
ILP / NBO(DFT),missing_from_ILP,W,P,1,1
ILP / NBO(DFT),missing_from_ILP,Y,N,1,1
