cohort,metric,baseline_percent,ml_edge_effect_pp,ligand_edge_effect_pp,full_effect_pp,interaction_pp,residual_mismatch_percent
graph_consensus_29068,ligand_canonical,84.99724783266822,-0.14448878491812422,-0.3233796614834148,-0.14448878491812422,0.3233796614834148,15.147240952249902
graph_consensus_29068,ligand_equiv,95.68941791660933,-0.20297234071831838,-0.37842300811888663,-0.20297234071831838,0.37842300811888663,4.513554424108989
graph_consensus_29068,metal_connectivity,96.54602999862392,2.759047750103207,-0.33370028897758175,2.759047750103207,0.33370028897758175,0.694922251272871
graph_consensus_29068,metal_oxidation,96.37401954038806,-0.2958579881656931,-0.37842300811890084,-0.2958579881656931,0.37842300811890084,3.921838447777631
graph_consensus_29068,full_connectivity,96.53914958029448,2.759047750103207,-0.33370028897756754,2.759047750103207,0.33370028897756754,0.7018026696023156
metric_consensus_29110,ligand_canonical,85.01202335967022,-0.17519752662316534,-0.3503950532463165,-0.17519752662316534,0.3503950532463165,15.163174166952942
metric_consensus_29110,ligand_equiv,95.6887667468224,-0.23359670216420625,-0.40535898316728947,-0.23359670216420625,0.40535898316728947,4.544829955341811
metric_consensus_29110,metal_connectivity,96.5441429062178,2.731020267949148,-0.3607007901064918,2.731020267949148,0.3607007901064918,0.7248368258330515
metric_consensus_29110,metal_oxidation,96.37581587083477,-0.3263483339058837,-0.4053589831673037,-0.3263483339058837,0.4053589831673037,3.950532463071113
metric_consensus_29110,full_connectivity,96.53383716935761,2.7310202679491624,-0.3572655444864381,2.7310202679491624,0.3572655444864381,0.7351425626932269
validated_graph_consensus,ligand_canonical,85.0214177145226,0.18308691446731018,0.0034544700842786824,0.18308691446731018,-0.0034544700842786824,14.795495371010091
validated_graph_consensus,ligand_equiv,95.7026392151444,0.1796324443830315,0.0034544700842786824,0.1796324443830315,-0.0034544700842786824,4.117728340472567
validated_graph_consensus,metal_connectivity,96.60771037722813,3.109023075860165,0.0034544700842928933,3.109023075860165,-0.0034544700842928933,0.2832665469117046
validated_graph_consensus,metal_oxidation,96.39007876191792,0.08636175210722286,0.0034544700842928933,0.08636175210722286,-0.0034544700842928933,3.5235594859748574
validated_graph_consensus,full_connectivity,96.60080143705956,3.109023075860165,0.0034544700842786824,3.109023075860165,-0.0034544700842786824,0.2901754870802762
