IDs,ox_ilp,ox_reference,ilp_ligands,reference_ligands
SIRSAN,2,0,CC(=O)OC(c1ccccc1)N(C)[C-2]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC(=O)OC(c1ccccc1)N(C)[C]c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
SOXCUF,3,1,CC1=CC(=C2C=C(C)C=C[N-]2)[N-]C=C1 || COC(=O)C(Cc1ccccc1)NC(=O)c1n[n-]nc1C(F)(F)F || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COC(=O)C(Cc1ccccc1)NC(=O)c1n[n-]nc1C(F)(F)F || Cc1ccnc(-c2cc(C)ccn2)c1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
SUGMUE,2,0,[C-2](NC1CCCCC1)c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C](NC1CCCCC1)c1ccco1
SUGNAL,2,0,[C-2](NC1CCCCC1)c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C](NC1CCCCC1)c1ccco1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1
SUGNEP,2,0,N[C-2]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],N[C]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
SUGNIT,2,0,N[C-2]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,N[C]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(c2ccccc2)c2ccccc2)cc1
SUGNOZ,2,0,N[C-2]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,N[C]c1ccco1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
SURFEQ,3,1,CCCCCCCN=c1c2ccc[n-]c-2c2[n-]cccc1-2 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [Cl-],CCCCCCCN=C1c2cccnc2-c2ncccc21 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [Cl-]
TANJUO,3,1,CC(C)N([C-2][Si](c1ccccc1)(c1ccccc1)C(C)(C)C)C(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-],CC(C)N([C][Si](c1ccccc1)(c1ccccc1)C(C)(C)C)C(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-]
TEXMAK,2,0,COCC1(C)CCCC2(C)c3cc(OC)c([C-2]N4CCOCC4)cc3CCC12 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COCC1(C)CCCC2(C)c3cc(OC)c([C]N4CCOCC4)cc3CCC12 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
TEYCAB,2,0,C=C1CCCC2(C)c3cc(OC)c([C-2]N)cc3CCC12 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C=C1CCCC2(C)c3cc(OC)c([C]N)cc3CCC12 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
TILBUO,1,1,CC(C)P(c1ccccc1[Si-]c1ccccc1P(C(C)C)C(C)C)C(C)C || [C-]#[O+] || [C-]#[O+],CC(C)P(c1ccccc1[SiH-]c1ccccc1P(C(C)C)C(C)C)C(C)C || [C-]#[O+] || [C-]#[O+]
TIWLET,1,1,O=C1c2c(c3c4ccccc4nc3c3[n-]cccc23)C(=O)N1Cc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccncc1,O=C1c2c(c3c4ccccc4[n-]c3c3ncccc23)C(=O)N1Cc1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccncc1
TOJYAV,1,1,CC(=O)c1ccc[n-]1 || CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC([O-])=C1C=CC=N1 || CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
TUHRAQ,1,1,CN1C([B-](C2=NC(C)(C)CO2)(C2=NC(C)(C)CO2)c2ccccc2)=[O+]CC1(C)C || [C-]#[O+] || [C-]#[O+],C[N+]1=C([B-](C2=NC(C)(C)CO2)(C2=NC(C)(C)CO2)c2ccccc2)OCC1(C)C || [C-]#[O+] || [C-]#[O+]
TUXKUT,3,1,[Br-] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cnc2c(c1)[N-]C1=C([N-]2)c2cccc3cccc1c23,[Br-] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2c3c(cccc3c1)-c1nc3ncccc3nc1-2
UDOBOG,2,0,CC(C)P(C(C)C)C(C)C || [C-2]=C=C(OC)N(C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],CC(C)P(C(C)C)C(C)C || [C-]#CC(OC)=[N+](C)C || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
