IDs,xyz2mol_status,error_type,elapsed_s,ilp_seconds,n_atoms
JAHHAC,fail,ArgumentError,,0.3524,64
JATDAM,fail,AttributeError,,0.0593,36
JEJPUK,fail,ArgumentError,,0.1328,75
JEKQAS,fail,AttributeError,,0.1060,63
JELCOS,fail,ArgumentError,,0.1637,79
JEYROU,fail,ArgumentError,,0.1873,65
JIZNOW,fail,ArgumentError,,0.1138,55
JIZSIW,fail,mol_is_none,0.2639,0.1358,38
JOMZES,fail,AttributeError,,0.1166,71
JOTJEK,fail,KekulizeException,,0.1113,63
JOXLAJ,fail,AttributeError,,0.2644,83
JUGRIO,timeout,timeout,300.0,0.5193,74
JUGRUA,timeout,timeout,300.0,0.5897,74
JUQQAN,fail,ArgumentError,,0.1589,55
KACDOI,fail,ArgumentError,,0.4670,74
KACFAW,fail,ArgumentError,,0.4068,61
KACFEA,fail,ArgumentError,,0.3569,51
KADJIK,fail,AtomValenceException,,0.2080,61
KAKVUO,fail,mol_is_none,0.1139,0.0566,57
KAKWAV,fail,mol_is_none,0.1142,0.0559,57
KAKWEZ,fail,mol_is_none,0.1167,0.0702,64
KAVWUA,fail,mol_is_none,0.4365,0.1799,47
KEGTEV,fail,AttributeError,,0.1420,51
KESYEP,invalid_charge,invalid_charge,,0.1325,43
KEWQOS,fail,ArgumentError,,0.1216,36
KIHTAZ,fail,AttributeError,,0.1221,81
KIHVIH,fail,AttributeError,,0.0410,67
KIRXOA,fail,AttributeError,,0.1003,79
KISZAN,fail,AttributeError,,0.3420,62
KOCXIK,fail,AttributeError,,0.1327,51
KOGQED,timeout,timeout,300.0,0.1588,83
KOLCOE,fail,AttributeError,,0.1218,53
KOMCIZ,fail,AttributeError,,0.1045,63
KUHGAW,timeout,timeout,300.0,0.2307,59
LACNOS,fail,ArgumentError,,0.4070,84
LAXCOF,fail,mol_is_none,22.0536,0.1089,65
LECZEZ,fail,ArgumentError,,0.1043,66
LELMEV,fail,ArgumentError,,0.2680,85
LENQUQ,fail,ArgumentError,,0.3331,47
LEPFUJ,fail,AttributeError,,0.1101,55
LEPGAQ,fail,AttributeError,,0.0902,55
