pair,missed_cov_plus_0.45_fn_over_nbond,missed_p99_plus_0.05_fn_over_nbond,spurious_cov_plus_0.45_fp_over_nnonbond,spurious_p99_plus_0.05_fp_over_nnonbond
Sc-Br,0/15,0/15,0/3,0/3
Sc-C,0/924,0/924,193/14121,82/14121
Sc-Cl,0/91,0/91,0/13,0/13
Sc-F,0/16,0/16,1/242,0/242
Sc-H,0/11,0/11,45/21466,5/21466
Sc-I,0/10,0/10,0/0,0/0
Sc-N,0/807,0/807,27/275,0/275
Sc-O,0/431,1/431,2/214,0/214
Sc-P,0/61,0/61,28/75,9/75
Sc-S,0/23,0/23,1/25,0/25
Sc-Se,0/2,0/2,0/0,0/0
Sc-Si,0/0,,61/374,
Ta-As,0/0,,0/1,
Ta-B,0/14,0/14,11/73,4/73
Ta-Br,0/21,0/21,0/4,0/4
Ta-C,0/2069,0/2069,163/16822,40/16822
Ta-Cl,0/664,1/664,0/79,0/79
Ta-D,0/0,,0/6,
Ta-F,0/40,0/40,0/358,0/358
Ta-H,0/47,0/47,24/26615,6/26615
Ta-I,0/3,0/3,0/1,0/1
Ta-N,0/1105,4/1105,9/307,0/307
Ta-O,0/539,3/539,0/188,0/188
Ta-P,0/148,0/148,8/40,4/40
Ta-S,0/89,0/89,1/24,0/24
Ta-Se,0/5,0/5,0/0,0/0
Ta-Si,0/12,0/12,23/244,5/244
Tc-As,0/6,0/6,0/5,0/5
Tc-B,0/0,,1/32,
Tc-Br,0/21,0/21,0/7,0/7
Tc-C,0/296,0/296,0/6593,0/6593
Tc-Cl,0/134,0/134,0/65,0/65
Tc-F,0/1,0/1,0/177,0/177
Tc-H,0/5,0/5,0/7647,0/7647
Tc-I,0/2,0/2,0/4,0/4
Tc-N,0/387,3/387,0/248,0/248
Tc-O,0/184,1/184,2/424,0/424
Tc-P,0/219,0/219,0/34,0/34
Tc-S,0/200,2/200,1/24,0/24
Tc-Se,0/6,0/6,0/0,0/0
Tc-Si,0/0,,0/4,
Ti-As,0/10,0/10,6/11,4/11
Ti-B,0/14,0/14,31/157,30/157
Ti-Br,0/75,0/75,0/48,0/48
Ti-C,0/11185,11/11185,533/67857,298/67857
Ti-Cl,0/2522,2/2522,1/499,0/499
Ti-D,0/0,,0/33,
Ti-F,0/88,1/88,0/1759,0/1759
Ti-H,0/57,0/57,49/100617,22/100617
Ti-I,0/30,0/30,0/8,0/8
Ti-N,0/4187,19/4187,8/1187,0/1187
Ti-O,0/2854,11/2854,1/993,0/993
Ti-P,0/217,2/217,49/248,19/248
Ti-S,0/283,2/283,34/242,27/242
Ti-Se,0/32,0/32,0/9,0/9
Ti-Si,0/3,0/3,197/830,8/830
V-As,0/1,0/1,0/3,0/3
V-B,0/3,0/3,5/55,5/55
V-Br,0/13,0/13,0/82,0/82
V-C,0/798,0/798,56/26062,3/26062
V-Cl,0/362,0/362,0/187,0/187
V-F,0/14,0/14,0/435,0/435
V-H,0/10,0/10,18/32834,3/32834
V-I,0/7,0/7,0/12,0/12
V-N,0/1866,1/1866,7/1214,0/1214
V-O,0/3347,4/3347,8/1149,0/1149
V-P,0/157,1/157,8/50,1/50
V-S,0/170,1/170,0/62,0/62
V-Se,0/3,0/3,0/0,0/0
V-Si,0/1,0/1,27/208,0/208
W-As,0/16,0/16,1/11,1/11
W-B,0/36,0/36,9/383,7/383
W-Br,0/105,0/105,1/39,0/39
W-C,0/11555,0/11555,145/61317,24/61317
W-Cl,0/709,1/709,0/535,0/535
W-D,0/0,,0/11,
W-F,0/125,0/125,1/1832,0/1832
W-H,0/150,0/150,29/83787,1/83787
W-I,0/158,1/158,0/29,0/29
W-N,0/2394,5/2394,11/2491,0/2491
W-O,0/1376,6/1376,2/8627,0/8627
W-P,0/1852,3/1852,9/295,2/295
W-S,0/708,6/708,0/283,0/283
W-Se,0/53,0/53,0/22,0/22
W-Si,0/62,0/62,17/631,2/631
Y-As,0/0,,0/5,
Y-B,0/13,0/13,27/108,27/108
Y-Br,0/9,0/9,0/15,0/15
Y-C,0/1957,0/1957,292/24474,192/24474
Y-Cl,0/123,0/123,0/47,0/47
Y-D,0/0,,0/12,
Y-F,0/5,0/5,0/264,0/264
Y-H,0/74,0/74,75/37654,38/37654
Y-I,0/37,0/37,0/9,0/9
Y-N,0/1774,8/1774,103/781,1/781
Y-O,0/1318,5/1318,1/477,0/477
Y-P,0/47,0/47,68/142,48/142
Y-S,0/44,0/44,0/84,0/84
Y-Se,0/14,0/14,0/0,0/0
Y-Si,0/3,0/3,270/755,65/755
Zn-As,0/5,0/5,0/0,0/0
Zn-B,0/6,0/6,9/471,7/471
Zn-Br,0/774,7/774,0/421,0/421
Zn-C,22/663,1/663,2/162610,166/162610
Zn-Cl,2/2664,21/2664,0/1431,0/1431
Zn-D,0/0,,0/13,
Zn-F,4/13,0/13,0/2347,0/2347
Zn-H,4/39,0/39,3/177799,9/177799
Zn-I,0/457,1/457,0/109,0/109
Zn-N,210/15006,98/15006,0/12036,0/12036
Zn-O,396/7643,0/7643,0/11514,13/11514
Zn-P,2/108,0/108,5/322,14/322
Zn-S,40/1557,13/1557,0/1760,7/1760
Zn-Se,0/75,0/75,0/43,0/43
Zn-Si,0/26,0/26,6/436,0/436
Zr-As,0/18,0/18,4/11,0/11
Zr-B,0/50,0/50,68/362,58/362
Zr-Br,0/58,0/58,0/25,0/25
Zr-C,0/15140,0/15140,729/57826,342/57826
Zr-Cl,0/1785,5/1785,0/223,0/223
Zr-D,0/0,,0/84,
Zr-F,0/61,1/61,0/1736,0/1736
Zr-H,0/112,0/112,96/92765,23/92765
Zr-I,0/62,0/62,0/9,0/9
Zr-N,0/3197,16/3197,12/794,0/794
Zr-O,0/1388,8/1388,2/555,0/555
Zr-P,0/267,0/267,55/249,21/249
Zr-S,0/108,0/108,6/98,3/98
Zr-Se,0/16,0/16,0/4,0/4
Zr-Si,0/23,0/23,375/1288,16/1288
