IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
AQEXIE,0,ok,0.091660,77,1,,[Ni+2]1(<-O=C2c3c(c([H])c([H])c([H])c3-c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])C2=C(N1c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])[H])(<-n1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H]
ASAVOH,-1,ok,0.117693,51,1,,[Mn+3]123(<-N4=c5c(c([H])c([H])c([H])c5[H])=N->1C(=O)C(C([H])([H])[H])(C([H])([H])[H])N2C(=O)C(C([H])([H])[H])(C([H])([H])[H])C(=O)N3C(C([H])([H])[H])(C([H])([H])[H])C4=O)=O
ATODEU,0,ok,0.068897,60,1,,c1([H])c([H])c([H])c2c3n1->[Pt+2](Cl)(Cl)<-n1c-3c(c([H])c([H])c1[H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
ATODIY,0,ok,0.078555,60,1,,c1([H])c([H])c([H])c2c3n1->[Pd+2](Cl)(Cl)<-n1c-3c(c([H])c([H])c1[H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
AXUFOO,0,ok,0.096465,73,1,,[Zn+2](Cl)(Cl)(Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H])Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H]
AXUFUU,0,ok,0.084986,73,1,,[Zn+2](Br)(Br)(Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H])Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H]
AXUGAB,0,ok,0.075867,73,1,,[Zn+2](I)(Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H])(I)Oc1c(C(=[N+]([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[H])c2c(c([H])c1[H])c([H])c([H])c([H])c2[H]
AYUNIT,1,ok,0.086600,47,1,,c1([H])c([H])c2c([H])c([H])c([H])c3c2c2c4c5c3c([H])c([H])c([H])c5c([H])c([H])n4->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n12)<-N(C([H])([H])[H])(C([H])([H])[H])[H]
BASWEZ,0,ok,0.047086,46,1,,[Au+](Cl)<-C1C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N1c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1[H]
BASWID,0,ok,0.038828,40,1,,[Au+](Cl)<-C1N(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H]
BAXFIQ,0,ok,0.085811,77,1,,[Pt+2](<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([Si](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])[H])([Si](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])[H])<-[C-]#[N+]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
BEFMUX,0,ok,0.064436,81,1,,[Ti+4]12(Cl)(<-O3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])(N(C([H])([H])[H])C([H])([H])[H])<-[C-]3=[N+](C([H])(c4c([H])c([H])c([H])c([H])c4[H])C([H])(c4c([H])c([H])c([H])c([H])c4[H])N3C([H])([H])c3c(c([H])c([H])c([H])c3[H])O1)C([H])([H])c1c(c([H])c([H])c([H])c1[H])O2
BELXEV,0,ok,0.073216,48,1,,[Pt+2](Cl)(Cl)(<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])C(=[N+](C([H])([H])[H])C([H])([H])[H])[H]
BEXJOF,0,ok,0.051173,56,1,,[Rh+]123(Cl)(C(c4[n+](C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])n4C([H])([H])[H])([H])c4c([H])c([H])c([H])c([H])c4[H])<-C4([H])=C->1([H])C([H])([H])C([H])([H])C->2([H])=C->3([H])C([H])([H])C4([H])[H]
BEXJUL,0,ok,0.041040,46,1,,[Rh+]123(Cl)(C(c4[n+](C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])n4C([H])([H])[H])([H])[H])<-C4([H])=C->1([H])C([H])([H])C([H])([H])C->2([H])=C->3([H])C([H])([H])C4([H])[H]
BEZNID,0,ok,0.029651,34,1,,[W]12(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C(=C->1(C([N+](=C2c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])[H])([H])[H])[H])([H])[H]
BICZUI,0,ok,0.030553,23,1,,[Au+](Cl)[C+](N(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
BIHCUR,0,ok,0.096655,73,1,,[Ti+2]12345(Cl)(Oc6c(C->17=c->21c->3(c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H])=C->4(C([H])([H])[H])[C+]->57C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H]
BOFFAG,0,ok,0.154056,85,1,,[Pd+2]12(N(C(N([H])c3c([H])c([H])c(Cl)c([H])c3[H])=Nc3n->1c(C([H])([H])[H])c([H])c([H])c3[H])c1nc(C([H])([H])[H])c([H])c([H])c1[H])<-N(=C(N=c1n2c(C([H])([H])[H])c([H])c([H])c1[H])N([H])c1c([H])c([H])c(Cl)c([H])c1[H])c1nc(C([H])([H])[H])c([H])c([H])c1[H]
BOFFEK,0,ok,0.164142,85,1,,[Pd+2]12(<-N(=C(N([H])c3c([H])c([H])c(F)c([H])c3[H])N=c3n1c(C([H])([H])[H])c([H])c([H])c3[H])c1nc(C([H])([H])[H])c([H])c([H])c1[H])<-N(=C(N([H])c1c([H])c([H])c(F)c([H])c1[H])N=c1n2c(C([H])([H])[H])c([H])c([H])c1[H])c1nc(C([H])([H])[H])c([H])c([H])c1[H]
BOHDEI,0,ok,0.052568,57,1,,C1(->[Ag+]Br)N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
BOHDIM,0,ok,0.051409,51,1,,I[Ag+]<-C1N(c2c(C([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H]
BOHDOS,0,ok,0.082366,61,1,,[Ag+](Br)[C+]1N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])c2c(c([H])c([H])c([H])c2[H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
BOXWOB,0,ok,0.077133,77,1,,C1(->[Rh+]234(<-C5([H])=C->2([H])C([H])([H])C([H])([H])C->3([H])=C->4([H])C([H])([H])C5([H])[H])Cl)N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
CAHHOI,0,ok,0.109382,74,1,,[Ni+2](C(=P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])[P-](c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(<-[C-]#[O+])<-[C-]#[O+]
CASWIC,0,ok,0.041245,42,1,,[Ni]12(<-n3c([H])c([H])c([H])c([H])c3[H])<-N(=NC(=N->1[H])SC([H])([H])[H])C(=C(C(=O->2)c1c([H])c([H])c([H])c([H])c1[H])[H])C([H])([H])[H]
CEKWAT,0,ok,0.040007,45,1,,[Zn+2]12(N3C([H])=C([H])C([H])=C([H])C3=C([N+](=O->1)C([H])([H])[H])[H])(O[N+](=O)[O-])(N1C([H])=C([H])C([H])=C([H])C1=C([N+](=O->2)C([H])([H])[H])[H])O[N+](=O)[O-]
CELHAD,0,ok,0.050533,66,1,,[Ni]123<-P(c4c(C(OC(C([H])([H])[H])([H])[H])(N->1=C(SC([H])([H])[H])N=N->2C(C([H])([H])[H])=C([H])C(=O->3)C([H])([H])[H])[H])c([H])c([H])c([H])c4[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
CEPHAI,0,ok,0.189385,75,1,,[Mo+4]1(=Nc2c(C([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])[H])(n2c(C([H])([H])[H])c([H])c([H])c2C([H])([H])[H])(<-n2c([H])c([H])c([H])c([H])c2-c2n->1c([H])c([H])c([H])c2[H])CC(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
